id|name|types|speed|hp|base_experience|attack|defense|weight
1|bulbasaur|grass,poison|45|45|64|49|49|69
2|ivysaur|grass,poison|60|60|142|62|63|130
3|venusaur|grass,poison|80|80|236|82|83|1000
4|charmander|fire|65|39|62|52|43|85
5|charmeleon|fire|80|58|142|64|58|190
6|charizard|fire,flying|100|78|240|84|78|905
7|squirtle|water|43|44|63|48|65|90
8|wartortle|water|58|59|142|63|80|225
9|blastoise|water|78|79|239|83|100|855
10|caterpie|bug|45|45|39|30|35|29
11|metapod|bug|30|50|72|20|55|99
12|butterfree|bug,flying|70|60|178|45|50|320
13|weedle|bug,poison|50|40|39|35|30|32
14|kakuna|bug,poison|35|45|72|25|50|100
15|beedrill|bug,poison|75|65|178|90|40|295
16|pidgey|normal,flying|56|40|50|45|40|18
17|pidgeotto|normal,flying|71|63|122|60|55|300
18|pidgeot|normal,flying|101|83|216|80|75|395
19|rattata|normal|72|30|51|56|35|35
20|raticate|normal|97|55|145|81|60|185
21|spearow|normal,flying|70|40|52|60|30|20
22|fearow|normal,flying|100|65|155|90|65|380
23|ekans|poison|55|35|58|60|44|69
24|arbok|poison|80|60|157|95|69|650
25|pikachu|electric|90|35|112|55|40|60
26|raichu|electric|110|60|218|90|55|300
27|sandshrew|ground|40|50|60|75|85|120
28|sandslash|ground|65|75|158|100|110|295
29|nidoran-f|poison|41|55|55|47|52|70
30|nidorina|poison|56|70|128|62|67|200
31|nidoqueen|poison,ground|76|90|227|92|87|600
32|nidoran-m|poison|50|46|55|57|40|90
33|nidorino|poison|65|61|128|72|57|195
34|nidoking|poison,ground|85|81|227|102|77|620
35|clefairy|fairy|35|70|113|45|48|75
36|clefable|fairy|60|95|217|70|73|400
37|vulpix|fire|65|38|60|41|40|99
38|ninetales|fire|100|73|177|76|75|199
39|jigglypuff|normal,fairy|20|115|95|45|20|55
40|wigglytuff|normal,fairy|45|140|196|70|45|120
41|zubat|poison,flying|55|40|49|45|35|75
42|golbat|poison,flying|90|75|159|80|70|550
43|oddish|grass,poison|30|45|64|50|55|54
44|gloom|grass,poison|40|60|138|65|70|86
45|vileplume|grass,poison|50|75|221|80|85|186
46|paras|bug,grass|25|35|57|70|55|54
47|parasect|bug,grass|30|60|142|95|80|295
48|venonat|bug,poison|45|60|61|55|50|300
49|venomoth|bug,poison|90|70|158|65|60|125
50|diglett|ground|95|10|53|55|25|8
51|dugtrio|ground|120|35|149|100|50|333
52|meowth|normal|90|40|58|45|35|42
53|persian|normal|115|65|154|70|60|320
54|psyduck|water|55|50|64|52|48|196
55|golduck|water|85|80|175|82|78|766
56|mankey|fighting|70|40|61|80|35|280
57|primeape|fighting|95|65|159|105|60|320
58|growlithe|fire|60|55|70|70|45|190
59|arcanine|fire|95|90|194|110|80|1550
60|poliwag|water|90|40|60|50|40|124
61|poliwhirl|water|90|65|135|65|65|200
62|poliwrath|water,fighting|70|90|230|95|95|540
63|abra|psychic|90|25|62|20|15|195
64|kadabra|psychic|105|40|140|35|30|565
65|alakazam|psychic|120|55|225|50|45|480
66|machop|fighting|35|70|61|80|50|195
67|machoke|fighting|45|80|142|100|70|705
68|machamp|fighting|55|90|227|130|80|1300
69|bellsprout|grass,poison|40|50|60|75|35|40
70|weepinbell|grass,poison|55|65|137|90|50|64
71|victreebel|grass,poison|70|80|221|105|65|155
72|tentacool|water,poison|70|40|67|40|35|455
73|tentacruel|water,poison|100|80|180|70|65|550
74|geodude|rock,ground|20|40|60|80|100|200
75|graveler|rock,ground|35|55|137|95|115|1050
76|golem|rock,ground|45|80|223|120|130|3000
77|ponyta|fire|90|50|82|85|55|300
78|rapidash|fire|105|65|175|100|70|950
79|slowpoke|water,psychic|15|90|63|65|65|360
80|slowbro|water,psychic|30|95|172|75|110|785
81|magnemite|electric,steel|45|25|65|35|70|60
82|magneton|electric,steel|70|50|163|60|95|600
83|farfetchd|normal,flying|60|52|132|90|55|150
84|doduo|normal,flying|75|35|62|85|45|392
